date,qty,vwap,buyer_capital_ratio,buyer_participation_ratio,buyer_volume_ratio,whale_impact
2025-01-21,45941.020019999996,103796.3949446611,0.5057875764893467,0.5129149873300813,0.011167248784999905,0.007127410840734649
2025-01-22,22248.69254,104776.70256207239,0.4719455467494479,0.5229639542304313,-0.0559811062048143,0.05101840748098341
2025-01-23,53953.12031,103993.25962787188,0.5015050590703534,0.5126314699248699,0.002571354709475173,0.011126410854516489
2025-01-24,23609.240169999997,105205.35843122596,0.5039019501108443,0.5035091477480399,0.00752590209259578,0.00039280236280436753
2025-01-25,9068.323769999999,104706.39948906476,0.4921319867573161,0.485700812925487,-0.015781859319299485,0.006431173831829118
2025-01-26,9812.51238,104392.4660476762,0.4733440432023049,0.4599221957285422,-0.05382591323670761,0.013421847473762683
2025-01-27,50758.134099999996,100336.35816469551,0.46369968052418137,0.4996372043279314,-0.07288852329975623,0.03593752380375004
2025-01-28,22022.057650000002,102350.89562742149,0.48862854055682353,0.5010461175940069,-0.023102420222753328,0.012417577037183325
2025-01-29,23155.35802,102800.55668826736,0.5043878600123324,0.4798941133194815,0.008420756000904169,0.02449374669285087
2025-01-30,19374.07472,105197.93244157785,0.5234908233986607,0.5178178355043451,0.04685550010101335,0.005672987894315584
2025-01-31,21983.18193,103814.543748136,0.4870294171523069,0.47891481436338385,-0.02676512307788564,0.008114602788923064
2025-02-01,12290.957470000001,101729.6033518233,0.45790225139334123,0.4756480450682289,-0.08454759139281282,0.017745793674887655
2025-02-02,34619.49939,98559.60868022326,0.45018702663296667,0.460822935438057,-0.09951518857014874,0.010635908805090355
2025-02-03,75164.7385,96169.95049762091,0.48942409176073565,0.48890361480027505,-0.022505228033221913,0.0005204769604605919
2025-02-04,40267.98697,99078.67128389832,0.47408522873744974,0.493484351126643,-0.05177373012346537,0.01939912238919328
2025-02-05,26233.30444,97675.1579157782,0.42083227898776276,0.5130676648113954,-0.1588896652167241,0.09223538582363267
2025-02-06,23515.20405,97344.3358752211,0.4790638639229475,0.4879552616934968,-0.042191556913153815,0.008891397770549314
2025-02-07,31794.220649999996,97740.79600450388,0.47982952073197327,0.516069168487464,-0.040746815726713015,0.03623964775549071
2025-02-08,10147.24294,96286.27926748575,0.438521091862557,0.4799947892134443,-0.12281063017497844,0.041473697350887295
2025-02-09,14120.916130000001,96275.27986109476,0.4720837710118983,0.5014342453662842,-0.056190308241707544,0.029350474354385925
2025-02-10,20572.875369999998,97172.22394609716,0.46704016278556715,0.4880643075975016,-0.06599120276496377,0.02102414481193443
2025-02-11,18647.763789999997,96876.75512894943,0.4607273734803915,0.5081303109897094,-0.07822720656630539,0.0474029375093179
2025-02-12,29151.16625,96055.92257889049,0.47427743920647064,0.5160480113412743,-0.05179055880826043,0.041770572134803674
2025-02-13,19921.77616,96225.7697805655,0.4443551329524922,0.5098980523121376,-0.11130793972338253,0.0655429193596454
2025-02-14,18173.02646,97291.07161983494,0.49880589798682834,0.5194824269537577,-0.0027729459433142277,0.02067652896692934
2025-02-15,7349.37683,97592.68171558595,0.4870338398325826,0.5103330112782243,-0.026001223562243186,0.023299171445641698
2025-02-16,8191.4249,97015.38523474387,0.4540644658785384,0.5033014947695279,-0.09179888104693482,0.04923702889098952
2025-02-17,16492.0451,96082.29401309775,0.4859158291493201,0.49156393477479987,-0.02857218720557594,0.0056481056254797934
2025-02-18,23368.194709999996,95171.87059128222,0.4893533168813063,0.4665706874042333,-0.021535569017860218,0.02278262947707299
2025-02-19,16438.50954,95922.17398215839,0.43669409331698966,0.4714539952769622,-0.12721794484538165,0.03475990195997253
2025-02-20,17057.39177,97517.0675071826,0.489998238566887,0.46150878120531735,-0.02019855055483674,0.02848945736156966
2025-02-21,32249.2814,97489.79763541225,0.4750047983830992,0.45366096024643787,-0.05029934465454483,0.021343838136661353
2025-02-22,11268.177080000001,96473.20290627136,0.46981293164691873,0.4851741017433408,-0.06049035750510226,0.015361170096422072
2025-02-23,10884.849129999999,95949.14907112031,0.42453597825846195,0.44622772010912826,-0.15112600738454152,0.021691741850666302
2025-02-24,31550.10299,94510.2967299498,0.458269894215251,0.46707512482192715,-0.0847171773368591,0.008805230606676151
2025-02-25,78333.11111,88889.3904791633,0.45727263727310224,0.5133306994896077,-0.08538925002745254,0.0560580622165055
2025-02-26,56893.544089999996,86098.16814870315,0.4935644452451456,0.5325824269146571,-0.0129922489769788,0.03901798166951148
2025-02-27,42505.45439,85135.87122300052,0.47882037509939457,0.5072127276081894,-0.04220670113391533,0.028392352508794794
2025-02-28,83648.03969,81373.15903536242,0.48103907278968827,0.5008074599425822,-0.03823561152004326,0.019768387152893974
