date,price,direction,buyer_participation_ratio,buyer_capital_ratio,buyer_volume_ratio,whale_impact
2025-02-02,99611.51839486965,-1,0.460822935438057,0.4501870266329666,-0.0995151885701487,0.0106359088050903
2025-02-03,98217.11095622879,-1,0.488903614800275,0.4894240917607356,-0.0225052280332219,0.0005204769604605
2025-02-03,96822.70351758793,-1,0.488903614800275,0.4894240917607356,-0.0225052280332219,0.0005204769604605
2025-02-03,95428.29607894707,-1,0.488903614800275,0.4894240917607356,-0.0225052280332219,0.0005204769604605
2025-02-04,96822.70351758793,1,0.493484351126643,0.4740852287374497,-0.0517737301234653,0.0193991223891932
2025-02-04,98217.11095622879,1,0.493484351126643,0.4740852287374497,-0.0517737301234653,0.0193991223891932
2025-02-07,96822.70351758793,-1,0.516069168487464,0.4798295207319732,-0.040746815726713,0.0362396477554907
2025-02-12,95428.29607894707,-1,0.5160480113412743,0.4742774392064706,-0.0517905588082604,0.0417705721348036
2025-02-14,96822.70351758793,1,0.5194824269537577,0.4988058979868283,-0.0027729459433142,0.0206765289669293
2025-02-15,98217.11095622879,1,0.5103330112782243,0.4870338398325826,-0.0260012235622431,0.0232991714456416
2025-02-17,96822.70351758793,-1,0.4915639347747998,0.4859158291493201,-0.0285721872055759,0.0056481056254797
2025-02-17,95428.29607894707,-1,0.4915639347747998,0.4859158291493201,-0.0285721872055759,0.0056481056254797
2025-02-20,96822.70351758793,1,0.4615087812053173,0.489998238566887,-0.0201985505548367,0.0284894573615696
2025-02-21,98217.11095622879,1,0.4536609602464378,0.4750047983830992,-0.0502993446545448,0.0213438381366613
2025-02-22,96822.70351758793,-1,0.4851741017433408,0.4698129316469187,-0.0604903575051022,0.015361170096422
2025-02-24,95428.29607894707,-1,0.4670751248219271,0.458269894215251,-0.0847171773368591,0.0088052306066761
2025-02-24,94033.8886403062,-1,0.4670751248219271,0.458269894215251,-0.0847171773368591,0.0088052306066761
2025-02-25,92639.48120166534,-1,0.5133306994896077,0.4572726372731022,-0.0853892500274525,0.0560580622165055
2025-02-25,91245.07376302448,-1,0.5133306994896077,0.4572726372731022,-0.0853892500274525,0.0560580622165055
2025-02-25,89850.66632438362,-1,0.5133306994896077,0.4572726372731022,-0.0853892500274525,0.0560580622165055
2025-02-25,88456.25888574276,-1,0.5133306994896077,0.4572726372731022,-0.0853892500274525,0.0560580622165055
2025-02-26,87061.8514471019,-1,0.5325824269146571,0.4935644452451456,-0.0129922489769788,0.0390179816695114
2025-02-27,85667.44400846104,-1,0.5072127276081894,0.4788203750993945,-0.0422067011339153,0.0283923525087947
2025-02-27,84273.03656982018,-1,0.5072127276081894,0.4788203750993945,-0.0422067011339153,0.0283923525087947
2025-02-28,82878.62913117932,-1,0.5008074599425822,0.4810390727896882,-0.0382356115200432,0.0197683871528939
2025-02-28,81484.22169253846,-1,0.5008074599425822,0.4810390727896882,-0.0382356115200432,0.0197683871528939
2025-03-01,82878.62913117932,1,0.5035779446638607,0.4558305485651586,-0.0887661202179248,0.0477473960987021
2025-03-01,84273.03656982018,1,0.5035779446638607,0.4558305485651586,-0.0887661202179248,0.0477473960987021
2025-03-02,85667.44400846104,1,0.5401823909548523,0.5335237854808502,0.0666531389025777,0.006658605474002
